units_sold,badges_count,shipping_option_price,inventory_total,has_urgency_banner,merchant_info_subtitle,product_id,uses_ad_boosts
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(568 notes)',5e9ae51d43d6a96e303acdb0,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (29,615 notes)',5e7d9c4eb880a0477d8103cb,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(3,533 notes)',5c710c76ebd9466c3e4861ad,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (331 notes)',5d63a7dfa9c84677ea42887f,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (7,034 notes)',5ce35861a11669329976a491,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (88 notes)',5e3ec653022fe610e3dc5b72,1
'\'(8.514816-8.519045]\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (225,438 notes)',5a62dcd33f78766f035945ac,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (32,858 notes)',5e06d16908979a191fe33031,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(11,900 notes)',5e6861a9ee70ce3101a91d44,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80 \% avis positifs (28,295 notes)',5c920161bec77729d9490525,1
'\'(8.514816-8.519045]\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(12,666 notes)',58eeefc901ba331d47ca05d8,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (1,047 notes)',5e93d60ebc5446aedde50c50,1
'\'(9.208853-9.211215]\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(19,436 notes)',58ca99f931a345532b684d7e,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81\% Positive Feedback (28 ratings)',5ed8b757c840df324c7796aa,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','93 \% avis positifs (1,972 notes)',5e97129b6ee2a91a8067702e,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (161 notes)',5ebf4728ed59bb08322ca81a,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(127,966 notes)',592fc0ee8f7b083a09f0f64f,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','90 \% avis positifs (8,404 notes)',5cc8351147634f53a6115fcc,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (13,127 notes)',5d130908ce76c95e615be75c,0
'\'(9.899354-inf)\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','92 \% avis positifs (10,269 notes)',5947718c4600c76e72246e75,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84\% положительных отзывов (5,988 рейтинг)',5e426615a4662e4a214c6371,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(231 notes)',5eb4ee2c48db4b0f42240401,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(2,359 notes)',5d4bb45c3ff22e4754d51846,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (36,913 notes)',5e686ce3e1cc2837f55f4401,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (8,989 notes)',5e9e714ed8ffeb004ec08270,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (11,354 notes)',5b1a1d72892e9f13ded21644,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (35,262 notes)',5c6bb167314806702b1b55ca,1
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(173,992 notes)',5ee3257cb3c7be38e3ec7c74,1
'\'(9.208853-9.211215]\'','\'(0.992962-1.014053]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','90 \% avis positifs (90,105 notes)',5b2a113209dce569672cc9f2,1
'\'(8.514816-8.519045]\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (5,781 notes)',5cb934f3a866551356e5f254,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (16,013 notes)',5d10a119f11faf10003b52c9,1
'\'(8.514816-8.519045]\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','91\% retroalimentación positiva (9,200 calificaciones)',5c340c2b31825e42ca62d69a,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(12,933 notes)',5d3127cd4d7c340fd86ad244,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (20,037 notes)',5e40f1398d75d64239efbb87,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (4,570 notes)',5ccd4623195cfe61a169cafd,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','87 \% avis positifs (7,497 notes)',5e8ebf2eac17f043654c58d7,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (33,855 notes)',5a3385c1e26cae0aaa20e029,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','71 \% avis positifs (942 notes)',5e4501d384935740a8a9a4c3,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (23,832 notes)',5c6a4bbb3abfb51118b000ca,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(4,921 notes)',5cc004928e117425a916426b,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','67 \% avis positifs (3 notes)',5f046ac0980447385a1a28e4,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (11,854 notes)',5b42cb780cb47619a7f6bbc2,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','82 \% avis positifs (15,812 notes)',5e9e876d27f2102a8979c8ee,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (7,218 notes)',5edf1268a464d32423613a5e,0
'\'(2.456275-4.618199]\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (185 notes)',5ebd015540cd2c3a8953cecb,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (5,264 notes)',5d2d3c9ed5c6b00249163289,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (12,574 notes)',5e16bf595457ab0a563485ea,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (11,505 notes)',5d11e3e51bb88e735249cbbb,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (4,191 notes)',5c3845c9b7d2d26e8b409f02,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','87 \% avis positifs (1,086 notes)',5ef702023a91ac0176d698e6,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (576 notes)',5e93d7cf79bded3d40385b54,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (47 notes)',5e9d3f0bad02980482682c4e,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (139,788 notes)',5ec5fba4a6e08e12f03e460e,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (9,940 notes)',5dbfe72d66169243db6635df,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (32,168 notes)',5cb8136006879f55b0ff0df0,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','70 \% avis positifs (99 notes)',5ed9e4ba8ab15d0b4b04e50b,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (37,375 notes)',5e5ca8e862cb8f75896ae172,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (35,358 notes)',5ca2f72d96d90c7ed661b692,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (1,012 notes)',5dd8ab8a786d6703c7ec8a69,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (9,703 notes)',5eba352573d6765d88b36bdc,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (8,776 notes)',5c60e1b2a74fd43d1ebfe639,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','73 \% avis positifs (1,472 notes)',5eb0db681c4b1c25486d2e7e,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (43,876 notes)',5e59fbad67b3390255c23751,1
'\'(9.208853-9.211215]\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (19,879 notes)',5b1e05d0c71f3d17c2e5d4df,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (58,154 notes)',5e40f1f893ca5f428e2471d3,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (4,080 notes)',5db021827fee081001a82fc0,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','93\% ردود �?عل إيجابية (7,197 تصني�?ات)',5df1ecfd5ae3500bbf3ba4d4,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(24,095 notes)',5c21ca1898238d325ed92eca,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(24,564 notes)',5eaa52ee64c7a230fe403a64,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(126,370 notes)',5edf0766194c971ec3ac4b9e,1
'\'(8.514816-8.519045]\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (13,308 notes)',5ad99c58bd784c1ffb100601,0
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','86 \% avis positifs (9,857 notes)',5d01ea30388e1065461d8806,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','86 \% avis positifs (5,993 notes)',5cf608da188cc348c6d66b74,0
'\'(9.899354-inf)\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(51,369 notes)',58df3eb809730e54ddd932ca,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','87 \% avis positifs (42,919 notes)',5cef3ca4dd762342f4a4df7a,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (22,711 notes)',5ec35e48c2112616231ab3f4,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(484 notes)',5ed5f7ccdfed1b4b1ac785c7,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (466 notes)',5c9b2487b14bfa32ed7eb029,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(4,295 notes)',5b20b718a2a83e2ca6e9ac7e,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (2,199 notes)',5caed93ee8567b275e1ca8d8,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','95 \% avis positifs (2,805 notes)',5ed34320dd296c304cb25970,1
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','92\% Positive Feedback (32,318 ratings)',5caed595c7c1b5383a04043f,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (139,223 notes)',5b3f3a9205dff81785dba8e6,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(10,600 notes)',5e9189606123795b1d5b60ab,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (5,816 notes)',5cedf93ac0baab7389f4ccd7,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (25,260 notes)',5abb1309dc0c285e4eb675a8,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(2,363 notes)',5de0bdcce07f9e75fdfc8da1,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (5,819 notes)',5d1b00a20d62613f9e7f76f3,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (63 notes)',5ea139e452f5470ac02279e2,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(4,907 notes)',5cfbdd5f3818e474b87846b7,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (15,348 notes)',5eb24d0fd8da132dfb97ee79,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (5,019 notes)',5d7886997bf8ef73a437287a,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (4,622 notes)',5d2fe4d55cdae96941f5a9bd,0
'\'(-inf-2.29756]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (1,134 notes)',5eccb455d4eb5d46b00be0ed,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (4,595 notes)',5ed9df5dd6223e34697f9024,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (5,316 notes)',5bdea74e9eddea3597f1a67d,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83\% Positive Feedback (1,821 ratings)',5e8d606bda3e443b5e67bc29,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (12,006 notes)',5d14546bf5eab044136b2540,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (16,726 notes)',5d5a9a582084e238605c2d99,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (5,264 notes)',5d2d3c9ed5c6b00249163289,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (32,168 notes)',5cb9e5b3f80ccb4a33211329,0
'\'(9.899354-inf)\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','94 \% avis positifs (100,789 notes)',5aa3592f6bcfa3795cba85b8,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (36,361 notes)',5c88742f9a4d0e68dc7148c2,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (37,956 notes)',5c662a56c3b02f4d7fe5fe32,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (45,964 notes)',5d0b625666b2734958f627dd,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(612 notes)',5ea28758278192466d0427dc,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (21,892 notes)',5a618aff64621a6a2122adb6,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (31,916 notes)',5ac343da7ddb0617e9b95919,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(96,838 notes)',5d157312e38c8c047ea116f3,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (50,864 notes)',5e7ed4fb7a1e3137c5ad14ff,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','90 \% avis positifs (6,357 notes)',5b4f0dc4dacb4350696cbbe1,1
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(2,904 notes)',5d6a0d55976cd02993e43250,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (30,892 notes)',58d3459c7379b159c406b360,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (43,676 notes)',5ae01ea95e2ae114f138414f,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(22,711 notes)',5df202bb707508021388614a,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(151,914 notes)',55754db131308d19e9cfcfee,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','79 \% avis positifs (111 notes)',5ea8f0eb3f8a650a4227f717,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (14,095 notes)',5d22bc01b1f60206f29d77e1,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(80,093 notes)',5e9693535690ff1a49098d4f,0
'\'(9.899354-inf)\'','\'(0.992962-1.014053]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','94 \% avis positifs (18,910 notes)',56396e7c37b94b100592b93b,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80 \% avis positifs (117 notes)',5ec4bf87c2112615ba1c66d4,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (3,592 notes)',5cf648ce373ac2069fd6317d,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (12,309 notes)',5d2d40ad6044b50685483ae7,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (26,951 notes)',5eb63e65f98a3634f4d430b3,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','90 \% avis positifs (2,992 notes)',5e75a726fd65bb1d871a71cc,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (1,160 notes)',5d299060d270a82a82344c01,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(8,352 notes)',5cb84b0ca94960380df13ca7,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(193 notes)',5eb6c6c98dfb8862c52ae331,1
